Year,rpt_rec_num,Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural Versus Urban,CCN Facility Type,Provider Type,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Number of Interns and Residents (FTE),Total Days Title V,Total Days Title XVIII,Total Days Title XIX,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges Title V,Total Discharges Title XVIII,Total Discharges Title XIX,Total Discharges (V + XVIII + XIX + Unknown),Number of Beds + Total for all Subproviders,Hospital Total Days Title V For Adults & Peds,Hospital Total Days Title XVIII For Adults & Peds,Hospital Total Days Title XIX For Adults & Peds,Hospital Total Days (V + XVIII + XIX + Unknown) For Adults & Peds,Hospital Number of Beds For Adults & Peds,Hospital Total Bed Days Available For Adults & Peds,Hospital Total Discharges Title V For Adults & Peds,Hospital Total Discharges Title XVIII For Adults & Peds,Hospital Total Discharges Title XIX For Adults & Peds,Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults & Peds,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Depreciation Cost,Total Costs,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Wage-Related Costs (Core),Wage-Related Costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor: Direct Patient Care,Wage Related Costs for Part - A Teaching Physicians,Wage Related Costs for Interns and Residents,Cash on Hand and in Banks,Temporary Investments,Notes Receivable,Accounts Receivable,Less: Allowances for Uncollectible Notes and Accounts Receivable,Inventory,Prepaid Expenses,Other Current Assets,Total Current Assets,Land,Land Improvements,Buildings,Leasehold Improvements,Fixed Equipment,Major Movable Equipment,Minor Equipment Depreciable,Health Information Technology Designated Assets,Total Fixed Assets,Investments,Other Assets,Total Other Assets,Total Assets,Accounts Payable,"Salaries, Wages, and Fees Payable",Payroll Taxes Payable,Notes and Loans Payable (Short Term),Deferred Income,Other Current Liabilities,Total Current Liabilities,Mortgage Payable,Notes Payable,Unsecured Loans,Other Long Term Liabilities,Total Long Term Liabilities,Total Liabilities,General Fund Balance,Total Fund Balances,Total Liabilities and Fund Balances,DRG Amounts Other Than Outlier Payments,DRG Amounts Before October 1,DRG Amounts After October 1,Outlier Payments For Discharges,Disproportionate Share Adjustment,Allowable DSH Percentage,Managed Care Simulated Payments,Total IME Payment,Inpatient Revenue,Outpatient Revenue,Total Patient Revenue,Less Contractual Allowance and Discounts on Patients' Accounts,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio,Net Revenue from Medicaid,Medicaid Charges,Net Revenue from Stand-Alone CHIP,Stand-Alone CHIP Charges
2020,686401,444029,PINEWOOD SPRINGS,1001 N JAMES M CAMPBELL BLVD,COLUMBIA,TN,38401,,34980,U,PH,4,4,4/17/2020,7/31/2020,47.1,,,194,,2133,60,10380,,17,,273,60,,194,,2133,60,10380,,17,,273,,,,,1986809,3782712,728881,3257835,11493386,,11493386,,,,,,,300,,,1246838,-617750,165,30369,,569975,1000000,,22178717,,286794,627087,3332618,,26395090,,,,26965065,424535,335857,129799,,,,890191,,,1691792,,1691792,2581983,24383082,24383082,26965065,,,,,,,,,11493386,,11493386,10755814,737572,5769521,-5031949,4537,-5027412,-1,-5027411,,,,,
2020,686789,14015,BEACON CHILDRENS HOSPITAL,150 HOSPITAL DRIVE,LUVERNE,AL,36049,,,NA,PH,4,4,1/1/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,686893,490129,CAPITAL HOSPICE,3180 FAIRVIEW PARK DRIVE  SUITE 500,FALLS CHURCH,VA,22042,FAIRFAX,47894,U,STH,1,2,1/1/2020,2/1/2020,,,,,,,,,,,,,36,,,,,,,,,,,,,,,2704309,1775459,47162,6670598,,,,468939,,2704309,,,,3742255,468687,,10972244,,,2494957,,17697173,1793980,,15839561,5377355,,12301950,,,19025180,,26964645,26964645,63686998,11492517,7210822,2270222,4558107,,,25531668,,132153,,185567,317720,25849388,37837610,37837610,63686998,,,,,,,,,1226319,4734077,5960396,327179,5633217,4479768,1153449,,1153449,,1153449,,,,,
2020,686919,180154,PINEVILLE COMMUNITY HOSPITAL,850 RIVERVIEW AVENUE,PINEVILLE,KY,40977,,99918,R,STH,1,2,10/4/2019,6/30/2020,52.86,,,604,32,1097,57,11691,,164,9,305,57,,506,29,892,41,11111,,164,9,305,,,,303710,2823617,3557542,4524,5138112,4208768,10990836,15199604,428335,,2823617,,,,4046078,,,2432991,-714717,46040,-89078,,5721314,,,,,,6438,,,1914,,,,5723228,244381,248758,-18414,,,-459706,15019,,3051512,,47616,3099128,3114147,2609081,2609081,5723228,,899807,,,26994,0.12,,,4155102,11171497,15326599,11259378,4067221,6381159,-2313938,4923019,2609081,,2609081,0.338042,1018294,5052284,,
2020,687020,390314,LVH - COORDINATED BETHLEHEM,2310 HIGHLAND AVENUE,BETHLEHEM,PA,18017,NORTHAMPTON,10900,U,STH,1,2,12/19/2019,6/30/2020,58.12,,,351,49,770,20,3900,,171,5,373,20,,351,49,770,20,3900,,171,5,373,,644379,110275,323858,2068760,6102739,943283,7552353,14264927,30270457,44535384,563894,,2068760,,,,138217,,,3726011,-692779,686781,,,13030123,4480000,,36770000,932390,2021350,133100,,,43354737,,19849459,19849459,76234319,1810157,74866,,,3678329,34087,6611908,,,,,,6611908,69622411,69622411,76234319,,2022851,,,,,195911,,14264928,30270458,44535386,32511260,12024126,8817227,3206899,726360,3933259,7198,3926061,0.169581,512378,4280910,,
2020,687267,670195,PREMIER ER PLUS-TEMPLE  LLC,7010 W ADAMS AVE  SUITE 10,TEMPLE,TX,76502,,,NA,STH,1,4,4/30/2020,9/1/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,687497,44021,WOODRIDGE OF WEST MEMPHIS LLC,600 NORTH 7TH STREET,WEST MEMPHIS,AR,72301,,,NA,PH,4,4,1/1/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,687517,192015,OCHSNER EXTENDED CARE HOSPITAL,2614 JEFFERSON HWY  2ND FLOOR,JEFFERSON,LA,70121-3828,JEFFERSON PARISH,35380,U,LTCH,2,4,6/1/2020,8/31/2020,6,,,751,275,2275,32,38016,,25,10,82,32,,751,275,2275,32,38016,,25,10,82,,,,,1642596,2891017,-69884,5500039,9119126,,9119126,,,1642596,,,,,,,3319905,,164777,6377,,3491059,,,,255656,,3586096,,,2287221,,,,5778280,-267734,150606,,,,3485240,3368112,,1040322,,,1040322,4408434,1369846,1369846,5778280,,,,,,,,,9119126,,9119126,5526028,3593098,4533613,-940515,920519,-19996,863,-20859,,,,,
2020,687663,670180,PREMIER ER,1509 N INTERSTATE 35,SAN MARCOS,TX,78666,,,NA,STH,9,2,4/29/2020,8/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,687664,670193,PREMIER ER,221 S JACK KULTGEN EXPRESSWAY,WACO,TX,76706,,,NA,STH,9,2,4/30/2020,9/1/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,687678,101993,DAYSTAR INC,3800S FLAMINGO RD,DAVIE,FL,33330-1616,,,NA,RNMHC,4,5,10/1/2019,9/30/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,687844,471301,GIFFORD MEDICAL CENTER,44 SOUTH MAIN STREET,RANDOLPH,VT,05060-,ORANGE,99947,R,CAH,1,2,10/1/2019,9/30/2020,283.72,,,2600,674,4501,25,9150,,581,169,1145,25,,1607,472,2877,23,8418,,581,169,1145,438210,1448743,1049528,2501840,23887081,29183185,2363782,39956959,23312337,71091987,94404324,,,,,,,17207592,2508741,,16336468,-10061043,1365206,1375890,8880630,37810668,751116,4122045,37926286,154659,16388296,22595312,,2896414,34072649,30358815,3792037,34150852,106034169,4802425,2343855,,697080,,5226405,22015715,16327660,,,4199707,20527367,42543082,61086874,63491087,106034169,,,,,,,,,25920278,81847210,107767488,63698534,44068954,53070266,-9001312,14410991,5409679,2072287,3337392,0.423253,1245689,15128371,,
2020,687905,14014,BAYPOINTE HEALTH,5800 SOUTHLAND DRIVE,MOBILE,AL,36693-3313,,,NA,PH,4,5,10/1/2019,9/30/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,687927,131312,ST. LUKES MCCALL,1000 STATE STREET,MCCALL,ID,83638-,VALLEY,99913,R,CAH,1,2,10/1/2019,9/30/2020,178.47,,,544,218,1525,15,5490,,192,80,547,15,,462,153,1196,15,5490,,192,80,547,1270835,1961754,2291398,3110647,17204033,21498158,2017332,31334519,17317553,41377350,58694903,,,,,,,4680727,,,10316797,-5291022,1408708,821489,,11983763,257460,,25283271,,975031,7653930,,,22131208,,17838931,17838931,51953902,4265708,342343,,,91000,169945,4868996,,,,,,4868996,47084906,47084906,51953902,,,,,,,,,20908919,48473842,69382761,32222786,37159975,38702191,-1542216,4854938,3312722,-80187,3392909,0.533854,2306866,5810586,,
2020,688040,454148,PERIMETER HOSPITAL OF ARLINGTON,7000 US HIGHWAY 287,ARLINGTON,TX,76001,,,NA,PH,4,4,1/1/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,688205,14017,EASTPOINTE HOSPITAL,7400 ROPER LANE,DAPHNE,AL,36526,BALDWIN,19300,U,PH,4,9,10/1/2019,9/30/2020,112,,,1574,,15228,66,24156,,87,,646,66,,1574,,15228,66,24156,,87,,646,,,,,58942344,38642448,3373711,9716548,1949992,,1949992,1903530,,58942344,,,,33441665,,,7862824,,68460,929269,,42302218,10006810,,52569125,,,11798765,,,55717496,1490913,11641588,13132501,111152215,2164910,6708008,,1002152,,262698,10137768,,18465411,,8813629,27279040,37416808,73735407,73735407,111152215,,,,,,,,,15541902,49415580,64957482,9772394,55185088,97584792,-42399704,54199901,11800197,,11800197,,,,,
2020,688475,301308,VALLEY REGIONAL HOSPITAL,243 ELM STREET,CLAREMONT,NH,03743-,SULLIVAN,99930,R,CAH,1,2,10/1/2019,9/30/2020,265,,27,1658,172,3618,25,9150,5,265,2,499,25,27,852,17,1529,25,9150,5,265,2,499,1452720,2597205,2917478,5177817,19065229,24470827,2459937,35702149,8871659,52007126,60878785,,,,,,,26141197,313149,,6027724,,926898,345429,,33754397,250667,13330,1194155,736447,99071,1946949,79147,,2801262,30380556,,30380556,66936215,2842903,2192334,,,12548353,3680437,21264027,,,,14948490,14948490,36212517,24496375,30723698,66936215,,,,,,,,,9514527,59977738,69492265,27674917,41817348,46670728,-4853380,7872794,3019414,,3019414,0.586446,2632322,10274402,,
2020,688510,364063,OGLETHORPE OF GEORGETOWN,13406 CORTEZ BLVD,BROOKSVILLE,OH,34613,,,NA,PH,4,4,4/17/2020,6/30/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,688962,341320,ALLEGHANY MEMORIAL HOSPITAL,233 DOCTORS STREET,SPARTA,NC,28675,ALLEGHANY,99934,R,CAH,1,2,10/1/2019,9/30/2020,77.77,,,461,33,718,25,9150,,94,5,158,25,,433,33,652,25,9150,,94,5,158,100841,1089538,608510,889706,4417008,7159234,641187,9276941,1814673,17512332,19327005,,,,,,,5783620,337975,,4215466,-2470771,261153,84741,300451,8548835,351517,1460715,10053170,,5970811,6332600,,,7485275,,1070044,1070044,17104154,4430967,554409,-40094,,,3895377,8840659,,,,51152,51152,8891811,8212343,8212343,17104154,,,,,,,,,1810563,19856710,21667273,12531914,9135359,11576242,-2440883,6359870,3918987,,3918987,0.479999,735684,2127212,19512,57957
2020,689042,171357,HILLSBORO COMMUNITY HOSPITAL,701 SOUTH MAIN STREET,HILLSBORO,KS,67063,MARION,99917,R,CAH,1,4,10/1/2019,12/8/2019,36.58,,,164,,307,15,1035,,9,,16,15,,26,,40,15,1035,,9,,16,,126738,98784,171448,435778,1999621,126687,2199430,1012147,1809672,2821819,,,,,,,50037,,,3634856,-2713657,86612,99567,,1411745,16800,1116639,9030263,,44241,2377607,,,8877825,,958971,958971,11248541,2859568,1778809,616479,-159949,,883804,5978711,6802808,-678967,,237366,6361207,12339918,-1091377,-1091377,11248541,,,,,,,,,1073743,1808465,2882208,1669913,1212295,2435399,-1223104,7320355,6097251,,6097251,0.779437,35452,138711,,
2020,689095,221300,MARTHAS VINEYARD HOSPITAL,ONE HOSPITAL ROAD,OAK BLUFFS,MA,2557,DUKES,99922,R,CAH,9,2,10/1/2019,9/30/2020,384.31,,,2849,536,4673,25,9150,,445,158,1056,25,,1456,393,2629,25,9150,,445,158,1056,1787934,3416436,3593643,4076261,44936181,54472179,6726364,80385487,21764318,121587140,143351458,,,,,,,39178616,4060000,,6262280,,,,27102104,79051000,2318333,748177,92311430,,,18807456,,,55237772,51138000,2402228,53540228,187829000,,6254494,,33248000,,1572506,41075000,,2421000,,6507000,8928000,50003000,137826000,137826000,187829000,,,,,,,,,20957895,147330762,168288657,74276847,94011810,99408360,-5396550,16603472,11206922,2789281,8417641,0.560758,11409197,21206679,161309,287306
2020,689160,301302,LITTLETON REGIONAL HEALTHCARE,600 ST. JOHNSBURY ROAD,LITTLETON,NH,03561-,GRAFTON,99930,R,CAH,1,2,10/1/2019,9/30/2020,403.24,,,1732,54,4515,25,9150,,480,14,1322,25,,1267,39,3116,21,7686,,480,14,1322,488073,5130357,2738136,5269405,42324768,59400307,4458110,64750619,32177567,113715174,145892741,,,,,,,19229645,,,12780011,,2066069,,5173793,39249518,764443,3806522,42177509,1303110,15124703,38537923,,,35062828,43883212,,43883212,118195558,7389297,4306488,,1312047,1334938,5621828,31954736,,21980690,,13607651,35588341,67543077,50652481,50652481,118195558,,,,,,,,,33667747,145530692,179198439,91994555,87203884,101725075,-14521191,12810287,-1710904,170812,-1881716,0.443823,6148142,19556018,,
2020,689178,201302,LINCOLNHEALTH,6 ST. ANDREWS LANE,BOOTHBAY HARBOR,ME,04538-,LINCOLN,99920,R,CAH,1,2,10/1/2019,9/30/2020,358.75,,,2284,706,6292,25,9150,,466,262,1680,67,,1829,545,4156,21,7686,,466,262,1680,1328273,4401849,4142191,4142191,26788488,65358204,4167864,79083290,30438300,87571526,118009826,,,,,,,15492354,,,8394493,,3606658,,,40327136,2480754,6116822,64170697,630254,9725901,22415773,,,45885513,10995402,2758419,13753821,99966470,1956862,3362596,,,39910,5935394,14531100,,1883978,,2556198,4440176,18971276,80995194,80995194,99966470,,,,,,,,,34932985,97423668,132356653,51252130,81104523,95488933,-14384410,4798772,-9585638,,-9585638,0.670142,10701038,11692972,,
2020,689179,201308,HOULTON REGIONAL HOSPITAL,20 HARTFORD STREET,HOULTON,ME,4730,AROOSTOOK,99920,R,CAH,1,2,10/1/2019,9/30/2020,279.28,,,2087,805,4666,25,9150,,328,158,864,25,,1231,490,2738,25,9150,,328,158,864,323804,3558000,2273172,4412065,20795782,27017146,898644,40809256,14836835,56043351,70880186,,,,,,,12816514,,,11839259,-7054555,862194,545368,541542,21539363,193107,1226539,22927039,,6815598,11749412,,,8315339,203050,5996637,6199687,36054389,6722436,2380908,,897000,9045878,914530,19960752,4043993,,,7812386,11856379,31817131,4120162,4237258,36054389,,,,,,,,,17114334,65927600,83041934,39567340,43474594,47812938,-4338344,4972382,634038,,634038,0.57575,6053404,14228914,,
2020,689181,301307,MEMORIAL HOSPITAL,3073 WHITE MOUNTAIN HIGHWAY,NORTH CONWAY,NH,3860,CARROLL,99930,R,CAH,1,2,10/1/2019,9/30/2020,295.93,,,1502,148,3652,25,9150,,440,23,1083,25,,1335,126,2799,21,7686,,440,23,1083,679012,4864613,3478328,3478328,29813745,45529466,7307612,66168271,16957954,94862237,111820191,,,,,,,26510475,16458948,,8725806,,1945156,306570,418810,55247321,4545066,2985377,50565667,,3812525,25771215,,856326,29990494,,19228744,19228744,104466559,12392982,2903079,,18903172,2101690,1175116,38860759,,,,15284776,15284776,54145535,50321024,50321024,104466559,,,,,,,,,19642057,105499839,125141896,56509244,68632652,75343211,-6710559,11507691,4797132,-90000,4887132,0.591738,196261,834971,,
2020,689212,31309,SAGE MEMORIAL HOSPITAL,HIGHWAY 264,GANADO,AZ,86505,APACHE,99903,R,CAH,1,2,10/1/2019,9/30/2020,196.88,,,165,161,882,25,9125,,44,50,156,25,,165,161,502,25,9125,,44,50,156,,,,,16592887,21276319,951291,29326866,5416774,30151888,35568662,,,,,,,133247334,,,8196222,-5518670,452592,569362,,137321840,26000,33145,21464940,,,,12569477,,13894610,,,,151216450,393575,804685,,,,7099569,8297829,,,,,,8297829,142918621,142918621,151216450,,,,,,,,,5819626,34510230,40329856,19237341,21092515,37869206,-16776691,18706186,1929495,,1929495,0.824514,,,,
